<br /><br />I started watching the show in reruns in 2001	['<', 'br', '/', '>', '<', 'br', '/', '>', 'I', 'started', 'watching', 'the', 'show', 'in', 'reruns', 'in', '2001']
I say get Donna and Eric married, I say have Hyde and Kelso fight and become friends again, I say have something interesting happen between Fez and Jackie because Fez has been trying for so long, but of course it wont work out for him	['I', 'say', 'get', 'Donna', 'and', 'Eric', 'married', ',', 'I', 'say', 'have', 'Hyde', 'and', 'Kelso', 'fight', 'and', 'become', 'friends', 'again', ',', 'I', 'say', 'have', 'something', 'interesting', 'happen', 'between', 'Fez', 'and', 'Jackie', 'because', 'Fez', 'has', 'been', 'trying', 'for', 'so', 'long', ',', 'but', 'of', 'course', 'it', 'wont', 'work', 'out', 'for', 'him']
JUST CLOSE OUT THE SERIES BIG TIME GUYS!<br /><br />That 70s Show will always be the best in my eyes	['JUST', 'CLOSE', 'OUT', 'THE', 'SERIES', 'BIG', 'TIME', 'GUYS', '!', '<', 'br', '/', '>', '<', 'br', '/', '>', 'That', '70s', 'Show', 'will', 'always', 'be', 'the', 'best', 'in', 'my', 'eyes']
Eric, Kelso, Donna, Jackie, Fez, Hyde, I wish I had you guys as friends	['Eric', ',', 'Kelso', ',', 'Donna', ',', 'Jackie', ',', 'Fez', ',', 'Hyde', ',', 'I', 'wish', 'I', 'had', 'you', 'guys', 'as', 'friends']
I don't doubt that the critics panned this movie, especially the artsy fartsys who need a laxative	['I', 'do', "n't", 'doubt', 'that', 'the', 'critics', 'panned', 'this', 'movie', ',', 'especially', 'the', 'artsy', 'fartsys', 'who', 'need', 'a', 'laxative']
This is a great vehicle movie in the tradition of Abbot & Costello or more recently Don Knotts	['This', 'is', 'a', 'great', 'vehicle', 'movie', 'in', 'the', 'tradition', 'of', 'Abbot', '&', 'Costello', 'or', 'more', 'recently', 'Don', 'Knotts']
It won't shake the world or change movies forever	['It', 'wo', "n't", 'shake', 'the', 'world', 'or', 'change', 'movies', 'forever']
When all is said & done that's the most important thing anyway	['When', 'all', 'is', 'said', '&', 'done', 'that', "'s", 'the', 'most', 'important', 'thing', 'anyway']
It even has a simple & kind moral message at no extra charge	['It', 'even', 'has', 'a', 'simple', '&', 'kind', 'moral', 'message', 'at', 'no', 'extra', 'charge']
I always loved Elvira's TV show when I lived in LA	['I', 'always', 'loved', 'Elvira', "'s", 'TV', 'show', 'when', 'I', 'lived', 'in', 'LA']
She did not really steal her schtick from Vampira any more than Vampira did from the original, Theda Bara	['She', 'did', 'not', 'really', 'steal', 'her', 'schtick', 'from', 'Vampira', 'any', 'more', 'than', 'Vampira', 'did', 'from', 'the', 'original', ',', 'Theda', 'Bara']
This sort of mythic character belongs to whoever does it best; & Cassandra Peterson does it best	['This', 'sort', 'of', 'mythic', 'character', 'belongs', 'to', 'whoever', 'does', 'it', 'best', ';', '&', 'Cassandra', 'Peterson', 'does', 'it', 'best']
Long live Elvira; we need more of these kind of movies	['Long', 'live', 'Elvira', ';', 'we', 'need', 'more', 'of', 'these', 'kind', 'of', 'movies']
The villain, William Morgan Sheppard, was also excellent	['The', 'villain', ',', 'William', 'Morgan', 'Sheppard', ',', 'was', 'also', 'excellent']
The execution is as close to flawless as the art form gets	['The', 'execution', 'is', 'as', 'close', 'to', 'flawless', 'as', 'the', 'art', 'form', 'gets']
My profound compliments to the director,James Signorelli,& all his crew	['My', 'profound', 'compliments', 'to', 'the', 'director', ',', 'James', 'Signorelli', ',', '&', 'all', 'his', 'crew']
The Scottish artist Andy Goldsworthy fashions natural materials into ephemeral artworks, assembling rocks into egg-shaped cairns, filling riverside rock-pools with fiery flowers and stitching thorns and twigs into intricate web patterns	['The', 'Scottish', 'artist', 'Andy', 'Goldsworthy', 'fashions', 'natural', 'materials', 'into', 'ephemeral', 'artworks', ',', 'assembling', 'rocks', 'into', 'egg-shaped', 'cairns', ',', 'filling', 'riverside', 'rock-pools', 'with', 'fiery', 'flowers', 'and', 'stitching', 'thorns', 'and', 'twigs', 'into', 'intricate', 'web', 'patterns']
An original work and a few photographs of his other creations are tucked away in a corner of Southampton art gallery (near where I live), but although I found these pieces intriguing, I only realised the wonder of Goldsworthy's work when I was lucky enough to catch a re-screening of Rivers and Tides	['An', 'original', 'work', 'and', 'a', 'few', 'photographs', 'of', 'his', 'other', 'creations', 'are', 'tucked', 'away', 'in', 'a', 'corner', 'of', 'Southampton', 'art', 'gallery', '(', 'near', 'where', 'I', 'live', ')', ',', 'but', 'although', 'I', 'found', 'these', 'pieces', 'intriguing', ',', 'I', 'only', 'realised', 'the', 'wonder', 'of', 'Goldsworthy', "'s", 'work', 'when', 'I', 'was', 'lucky', 'enough', 'to', 'catch', 'a', 're-screening', 'of', 'Rivers', 'and', 'Tides']
<br /><br />Thomas Reidelsheimer's film, accompanied by a beautiful instrumental soundtrack by Fred Frith, brings Goldsworthy and his art to life by showing the artist at work	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Thomas', 'Reidelsheimer', "'s", 'film', ',', 'accompanied', 'by', 'a', 'beautiful', 'instrumental', 'soundtrack', 'by', 'Fred', 'Frith', ',', 'brings', 'Goldsworthy', 'and', 'his', 'art', 'to', 'life', 'by', 'showing', 'the', 'artist', 'at', 'work']
The opening scene captures him fusing icicle fragments into a snake-like thread set atop a tree-stump	['The', 'opening', 'scene', 'captures', 'him', 'fusing', 'icicle', 'fragments', 'into', 'a', 'snake-like', 'thread', 'set', 'atop', 'a', 'tree-stump']
Working with his teeth and bare hands, Goldsworthy crafts a beautiful, ephemeral work	['Working', 'with', 'his', 'teeth', 'and', 'bare', 'hands', ',', 'Goldsworthy', 'crafts', 'a', 'beautiful', ',', 'ephemeral', 'work']
Before long this delicate sculpture melts away to nothing in the brilliant Nova Scotian sunlight	['Before', 'long', 'this', 'delicate', 'sculpture', 'melts', 'away', 'to', 'nothing', 'in', 'the', 'brilliant', 'Nova', 'Scotian', 'sunlight']
This scene is among the most beautiful in the film, but the breadth and inventiveness of Goldsworthy's work is remarkable	['This', 'scene', 'is', 'among', 'the', 'most', 'beautiful', 'in', 'the', 'film', ',', 'but', 'the', 'breadth', 'and', 'inventiveness', 'of', 'Goldsworthy', "'s", 'work', 'is', 'remarkable']
Reidelsheimer shows both the successes and the failures, capturing the frustration of pieces that collapse before they are completed as well as the glory of those that shine, even if for just a few hours, minutes or seconds	['Reidelsheimer', 'shows', 'both', 'the', 'successes', 'and', 'the', 'failures', ',', 'capturing', 'the', 'frustration', 'of', 'pieces', 'that', 'collapse', 'before', 'they', 'are', 'completed', 'as', 'well', 'as', 'the', 'glory', 'of', 'those', 'that', 'shine', ',', 'even', 'if', 'for', 'just', 'a', 'few', 'hours', ',', 'minutes', 'or', 'seconds']
<br /><br />Goldsworthy himself provides the narration, speaking slowly but thoughtfully about the themes in his work	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Goldsworthy', 'himself', 'provides', 'the', 'narration', ',', 'speaking', 'slowly', 'but', 'thoughtfully', 'about', 'the', 'themes', 'in', 'his', 'work']
He makes plain his need to work with nature, to be alone in it and to further his understanding of it through trying to work with natural materials, even when they seem to be working against him	['He', 'makes', 'plain', 'his', 'need', 'to', 'work', 'with', 'nature', ',', 'to', 'be', 'alone', 'in', 'it', 'and', 'to', 'further', 'his', 'understanding', 'of', 'it', 'through', 'trying', 'to', 'work', 'with', 'natural', 'materials', ',', 'even', 'when', 'they', 'seem', 'to', 'be', 'working', 'against', 'him']
At times he is down-to-earth and humorous; at other times he struggles for the words to express his purpose  something which is quite understandable when witnessing his astonishing work first hand	['At', 'times', 'he', 'is', 'down-to-earth', 'and', 'humorous', ';', 'at', 'other', 'times', 'he', 'struggles', 'for', 'the', 'words', 'to', 'express', 'his', 'purpose', '\x96', 'something', 'which', 'is', 'quite', 'understandable', 'when', 'witnessing', 'his', 'astonishing', 'work', 'first', 'hand']
The 'Rivers and Tides' of the title become increasingly pertinent as we see the natural materials pass through the artist's hands, flowing from one form to the next	['The', "'Rivers", 'and', 'Tides', "'", 'of', 'the', 'title', 'become', 'increasingly', 'pertinent', 'as', 'we', 'see', 'the', 'natural', 'materials', 'pass', 'through', 'the', 'artist', "'s", 'hands', ',', 'flowing', 'from', 'one', 'form', 'to', 'the', 'next']
The capture of the creation and dissolution of Goldworthy's work is in itself a striking piece of art	['The', 'capture', 'of', 'the', 'creation', 'and', 'dissolution', 'of', 'Goldworthy', "'s", 'work', 'is', 'in', 'itself', 'a', 'striking', 'piece', 'of', 'art']
<br /><br />Although Goldsworthy works with widely varying materials and covers territory across North America and Europe, the presentation of artworks one after the other in this film is exhausting; it gave me the same feeling of fatigue that I get when I spend too long in an art gallery and struggle to take in anything new	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Although', 'Goldsworthy', 'works', 'with', 'widely', 'varying', 'materials', 'and', 'covers', 'territory', 'across', 'North', 'America', 'and', 'Europe', ',', 'the', 'presentation', 'of', 'artworks', 'one', 'after', 'the', 'other', 'in', 'this', 'film', 'is', 'exhausting', ';', 'it', 'gave', 'me', 'the', 'same', 'feeling', 'of', 'fatigue', 'that', 'I', 'get', 'when', 'I', 'spend', 'too', 'long', 'in', 'an', 'art', 'gallery', 'and', 'struggle', 'to', 'take', 'in', 'anything', 'new']
A brief interval in which we are introduced to Andy's family and hometown is all that breaks the long succession of his artworks	['A', 'brief', 'interval', 'in', 'which', 'we', 'are', 'introduced', 'to', 'Andy', "'s", 'family', 'and', 'hometown', 'is', 'all', 'that', 'breaks', 'the', 'long', 'succession', 'of', 'his', 'artworks']
Nevertheless, Reidelsheimer does a superb job in photographing Goldsworthy and his creations, locating them in their wider environments, from meandering Canadian rivers to rainy Scottish hillsides	['Nevertheless', ',', 'Reidelsheimer', 'does', 'a', 'superb', 'job', 'in', 'photographing', 'Goldsworthy', 'and', 'his', 'creations', ',', 'locating', 'them', 'in', 'their', 'wider', 'environments', ',', 'from', 'meandering', 'Canadian', 'rivers', 'to', 'rainy', 'Scottish', 'hillsides']
Fittingly, the film ends with Goldsworthy casting handfuls of earth and snow into the sky	['Fittingly', ',', 'the', 'film', 'ends', 'with', 'Goldsworthy', 'casting', 'handfuls', 'of', 'earth', 'and', 'snow', 'into', 'the', 'sky']
Fleeting patterns emerge from the dust particles even as they dissipate into the air; this is the purest expression of the beauty to be found in the work of this remarkable artist	['Fleeting', 'patterns', 'emerge', 'from', 'the', 'dust', 'particles', 'even', 'as', 'they', 'dissipate', 'into', 'the', 'air', ';', 'this', 'is', 'the', 'purest', 'expression', 'of', 'the', 'beauty', 'to', 'be', 'found', 'in', 'the', 'work', 'of', 'this', 'remarkable', 'artist']
How to lose friends and alienate people is decent comedy with a bit of romantic approach	['How', 'to', 'lose', 'friends', 'and', 'alienate', 'people', 'is', 'decent', 'comedy', 'with', 'a', 'bit', 'of', 'romantic', 'approach']
<br /><br />It's actually a story of Sidney Young(Simon Pegg) breaking through in journalist and magazine writing business which is interpreted in a funny way	['<', 'br', '/', '>', '<', 'br', '/', '>', 'It', "'s", 'actually', 'a', 'story', 'of', 'Sidney', 'Young', '(', 'Simon', 'Pegg', ')', 'breaking', 'through', 'in', 'journalist', 'and', 'magazine', 'writing', 'business', 'which', 'is', 'interpreted', 'in', 'a', 'funny', 'way']
Simon Pegg made an OK appearance, slightly worse than his usual	['Simon', 'Pegg', 'made', 'an', 'OK', 'appearance', ',', 'slightly', 'worse', 'than', 'his', 'usual']
Movie is not hilarious or funny all the way or anything like that but it has its moments, and those moments are really hilarious	['Movie', 'is', 'not', 'hilarious', 'or', 'funny', 'all', 'the', 'way', 'or', 'anything', 'like', 'that', 'but', 'it', 'has', 'its', 'moments', ',', 'and', 'those', 'moments', 'are', 'really', 'hilarious']
<br /><br />I recommend this fun and worth watching American with English cream comedy to all people who just wanna sit, relax and enjoy movie for what it is	['<', 'br', '/', '>', '<', 'br', '/', '>', 'I', 'recommend', 'this', 'fun', 'and', 'worth', 'watching', 'American', 'with', 'English', 'cream', 'comedy', 'to', 'all', 'people', 'who', 'just', 'wan', 'na', 'sit', ',', 'relax', 'and', 'enjoy', 'movie', 'for', 'what', 'it', 'is']
If you're about to watch this movie with critical approach then you should pass unless you want to be disappointed and start trashing it	['If', 'you', "'re", 'about', 'to', 'watch', 'this', 'movie', 'with', 'critical', 'approach', 'then', 'you', 'should', 'pass', 'unless', 'you', 'want', 'to', 'be', 'disappointed', 'and', 'start', 'trashing', 'it']
I saw this important intense film tonight	['I', 'saw', 'this', 'important', 'intense', 'film', 'tonight']
Its Richard Gere and Claire's Dane's most important and best work	['Its', 'Richard', 'Gere', 'and', 'Claire', "'s", 'Dane', "'s", 'most', 'important', 'and', 'best', 'work']
Gere deserves an Oscar for his fine portrayal of a man being forced into early retirement as a sex offender registrar administrator	['Gere', 'deserves', 'an', 'Oscar', 'for', 'his', 'fine', 'portrayal', 'of', 'a', 'man', 'being', 'forced', 'into', 'early', 'retirement', 'as', 'a', 'sex', 'offender', 'registrar', 'administrator']
Claire Danes is riveting as the woman Gere handpicks to replace him - a woman he tries to teach all he can while investigating one final case in which Gere's character is convinced one of those he is charged to monitor may be holding a young girl hostage	['Claire', 'Danes', 'is', 'riveting', 'as', 'the', 'woman', 'Gere', 'handpicks', 'to', 'replace', 'him', '-', 'a', 'woman', 'he', 'tries', 'to', 'teach', 'all', 'he', 'can', 'while', 'investigating', 'one', 'final', 'case', 'in', 'which', 'Gere', "'s", 'character', 'is', 'convinced', 'one', 'of', 'those', 'he', 'is', 'charged', 'to', 'monitor', 'may', 'be', 'holding', 'a', 'young', 'girl', 'hostage']
The subject matter is shocking, sex offenders and those who monitor them, but this film will not soon be forgotten	['The', 'subject', 'matter', 'is', 'shocking', ',', 'sex', 'offenders', 'and', 'those', 'who', 'monitor', 'them', ',', 'but', 'this', 'film', 'will', 'not', 'soon', 'be', 'forgotten']
I know I will be haunted by Gere's portrayal for a very long time	['I', 'know', 'I', 'will', 'be', 'haunted', 'by', 'Gere', "'s", 'portrayal', 'for', 'a', 'very', 'long', 'time']
Not since Anthony Hopkins portrayal of a serial killer has a screen portrayal terrified and so engaged me	['Not', 'since', 'Anthony', 'Hopkins', 'portrayal', 'of', 'a', 'serial', 'killer', 'has', 'a', 'screen', 'portrayal', 'terrified', 'and', 'so', 'engaged', 'me']
The film opens with a shocking statistic so don't miss the opening credits	['The', 'film', 'opens', 'with', 'a', 'shocking', 'statistic', 'so', 'do', "n't", 'miss', 'the', 'opening', 'credits']
Richard Gere's finest role proving the man can act	['Richard', 'Gere', "'s", 'finest', 'role', 'proving', 'the', 'man', 'can', 'act']
Danes can as well and both do extraordinarily well in this often challenging film	['Danes', 'can', 'as', 'well', 'and', 'both', 'do', 'extraordinarily', 'well', 'in', 'this', 'often', 'challenging', 'film']
<br /><br />This is a gutsy film and Gere gives a multi-layered deeply felt performance	['<', 'br', '/', '>', '<', 'br', '/', '>', 'This', 'is', 'a', 'gutsy', 'film', 'and', 'Gere', 'gives', 'a', 'multi-layered', 'deeply', 'felt', 'performance']
Let me say first that this show was top tier when John Ritter was there	['Let', 'me', 'say', 'first', 'that', 'this', 'show', 'was', 'top', 'tier', 'when', 'John', 'Ritter', 'was', 'there']
Upon his death, the show did drop off a bit, but the producers didn't give up on the show, adding James Garner and David Spade to the regular cast from 2003 to 2005	['Upon', 'his', 'death', ',', 'the', 'show', 'did', 'drop', 'off', 'a', 'bit', ',', 'but', 'the', 'producers', 'did', "n't", 'give', 'up', 'on', 'the', 'show', ',', 'adding', 'James', 'Garner', 'and', 'David', 'Spade', 'to', 'the', 'regular', 'cast', 'from', '2003', 'to', '2005']
<br /><br />The show centers around the Hennessy family, Paul (John Ritter, may he rest in peace), his wife Cate (Katey Sagal), their daughters Bridget (Kaley Cuoco), Kerry (Amy Davidson), and their son, Rory (Martin Spanjers)	['<', 'br', '/', '>', '<', 'br', '/', '>', 'The', 'show', 'centers', 'around', 'the', 'Hennessy', 'family', ',', 'Paul', '(', 'John', 'Ritter', ',', 'may', 'he', 'rest', 'in', 'peace', ')', ',', 'his', 'wife', 'Cate', '(', 'Katey', 'Sagal', ')', ',', 'their', 'daughters', 'Bridget', '(', 'Kaley', 'Cuoco', ')', ',', 'Kerry', '(', 'Amy', 'Davidson', ')', ',', 'and', 'their', 'son', ',', 'Rory', '(', 'Martin', 'Spanjers', ')']
When Ritter was on the show, I would shriek in laughter (and proud to admit it, I am), but now that he's gone, I'll only laugh a little with the occasional hearty laugh	['When', 'Ritter', 'was', 'on', 'the', 'show', ',', 'I', 'would', 'shriek', 'in', 'laughter', '(', 'and', 'proud', 'to', 'admit', 'it', ',', 'I', 'am', ')', ',', 'but', 'now', 'that', 'he', "'s", 'gone', ',', 'I', "'ll", 'only', 'laugh', 'a', 'little', 'with', 'the', 'occasional', 'hearty', 'laugh']
I'm very glad that I fell for this show's trance after Ritter's untimely death, because it made the eps with Ritter so much better	['I', "'m", 'very', 'glad', 'that', 'I', 'fell', 'for', 'this', 'show', "'s", 'trance', 'after', 'Ritter', "'s", 'untimely', 'death', ',', 'because', 'it', 'made', 'the', 'eps', 'with', 'Ritter', 'so', 'much', 'better']
<br /><br />Ritter's character is just so well acted and well rounded, that you can't help but love him	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Ritter', "'s", 'character', 'is', 'just', 'so', 'well', 'acted', 'and', 'well', 'rounded', ',', 'that', 'you', 'ca', "n't", 'help', 'but', 'love', 'him']
He is always bossing the girls around about dating, but he really wants them to be happy	['He', 'is', 'always', 'bossing', 'the', 'girls', 'around', 'about', 'dating', ',', 'but', 'he', 'really', 'wants', 'them', 'to', 'be', 'happy']
It's the ultimate daddy hates boyfriend entertainment	['It', "'s", 'the', 'ultimate', 'daddy', 'hates', 'boyfriend', 'entertainment']
<br /><br />Katey Sagal is great as well, and she too is a likable character	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Katey', 'Sagal', 'is', 'great', 'as', 'well', ',', 'and', 'she', 'too', 'is', 'a', 'likable', 'character']
After Ritter's death, her character provides such good influence and strength for not only her kids, but I believe Sagal has shaped the lives of Cuoco, Davidson, and Spanjers, because she and Ritter had been friends for a long time	['After', 'Ritter', "'s", 'death', ',', 'her', 'character', 'provides', 'such', 'good', 'influence', 'and', 'strength', 'for', 'not', 'only', 'her', 'kids', ',', 'but', 'I', 'believe', 'Sagal', 'has', 'shaped', 'the', 'lives', 'of', 'Cuoco', ',', 'Davidson', ',', 'and', 'Spanjers', ',', 'because', 'she', 'and', 'Ritter', 'had', 'been', 'friends', 'for', 'a', 'long', 'time']
<br /><br />The funniest person on the show would have to be Bridget Hennessy, played by Kaley Cuoco	['<', 'br', '/', '>', '<', 'br', '/', '>', 'The', 'funniest', 'person', 'on', 'the', 'show', 'would', 'have', 'to', 'be', 'Bridget', 'Hennessy', ',', 'played', 'by', 'Kaley', 'Cuoco']
She is the ultimate blonde: gorgeous, slow, dim-witted, yet she is a smart person	['She', 'is', 'the', 'ultimate', 'blonde', ':', 'gorgeous', ',', 'slow', ',', 'dim-witted', ',', 'yet', 'she', 'is', 'a', 'smart', 'person']
She is off the wall hilarious with her innocent 'blonde' humor and how conceited she is	['She', 'is', 'off', 'the', 'wall', 'hilarious', 'with', 'her', 'innocent', "'blonde", "'", 'humor', 'and', 'how', 'conceited', 'she', 'is']
<br /><br />Amy Davidson can get a tad annoying as Kerry, but that's the purpose of her character	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Amy', 'Davidson', 'can', 'get', 'a', 'tad', 'annoying', 'as', 'Kerry', ',', 'but', 'that', "'s", 'the', 'purpose', 'of', 'her', 'character']
The only fault of the show is that the show never really gives Kerry anything to be happy about	['The', 'only', 'fault', 'of', 'the', 'show', 'is', 'that', 'the', 'show', 'never', 'really', 'gives', 'Kerry', 'anything', 'to', 'be', 'happy', 'about']
She's always after Bridget, and her character feels like it's just thrown in there	['She', "'s", 'always', 'after', 'Bridget', ',', 'and', 'her', 'character', 'feels', 'like', 'it', "'s", 'just', 'thrown', 'in', 'there']
<br /><br />Martin Spanjers as the lone Hennessy son is hysterical, and when Ritter is on the show, he's mostly comic material	['<', 'br', '/', '>', '<', 'br', '/', '>', 'Martin', 'Spanjers', 'as', 'the', 'lone', 'Hennessy', 'son', 'is', 'hysterical', ',', 'and', 'when', 'Ritter', 'is', 'on', 'the', 'show', ',', 'he', "'s", 'mostly', 'comic', 'material']
Upon the death of Ritter, the show does provide some story lines for Rory	['Upon', 'the', 'death', 'of', 'Ritter', ',', 'the', 'show', 'does', 'provide', 'some', 'story', 'lines', 'for', 'Rory']
<br /><br />David Spade and James Garner are all nothing but laughs, with the occasional side story for C	['<', 'br', '/', '>', '<', 'br', '/', '>', 'David', 'Spade', 'and', 'James', 'Garner', 'are', 'all', 'nothing', 'but', 'laughs', ',', 'with', 'the', 'occasional', 'side', 'story', 'for', 'C']
Garner plays Cate's father, as a bit of background information	['Garner', 'plays', 'Cate', "'s", 'father', ',', 'as', 'a', 'bit', 'of', 'background', 'information']
<br /><br />All in all, I give this show a great review because it is a great show that had a tragic event happen that crippled it	['<', 'br', '/', '>', '<', 'br', '/', '>', 'All', 'in', 'all', ',', 'I', 'give', 'this', 'show', 'a', 'great', 'review', 'because', 'it', 'is', 'a', 'great', 'show', 'that', 'had', 'a', 'tragic', 'event', 'happen', 'that', 'crippled', 'it']
This is one of those movies that make better trailers than full-length feature films	['This', 'is', 'one', 'of', 'those', 'movies', 'that', 'make', 'better', 'trailers', 'than', 'full-length', 'feature', 'films']
The concept was really cool and different, the humor was unique, I just felt there were missed opportunities to put the "punch" into this movie	['The', 'concept', 'was', 'really', 'cool', 'and', 'different', ',', 'the', 'humor', 'was', 'unique', ',', 'I', 'just', 'felt', 'there', 'were', 'missed', 'opportunities', 'to', 'put', 'the', '``', 'punch', "''", 'into', 'this', 'movie']
So many lines and gags were left hanging too long, with no definite ending and really didn't leave me laughing	['So', 'many', 'lines', 'and', 'gags', 'were', 'left', 'hanging', 'too', 'long', ',', 'with', 'no', 'definite', 'ending', 'and', 'really', 'did', "n't", 'leave', 'me', 'laughing']
Wilson, Wilson, Farris & Thurman were great	['Wilson', ',', 'Wilson', ',', 'Farris', '&', 'Thurman', 'were', 'great']
Wanda Sykes was under-used in this film and needed more exposure, and more opportunities to spin her character into more screen time	['Wanda', 'Sykes', 'was', 'under-used', 'in', 'this', 'film', 'and', 'needed', 'more', 'exposure', ',', 'and', 'more', 'opportunities', 'to', 'spin', 'her', 'character', 'into', 'more', 'screen', 'time']
Also, I was looking for some sort of a feel-good music video during the end credits, something that has become sort of a trade-mark to these romantic comedy films, a la Something About Mary, Meet the Parents but again, I was left feeling a little cheated by fact that this COULD have been a much better film with a little more music and punchier punch lines	['Also', ',', 'I', 'was', 'looking', 'for', 'some', 'sort', 'of', 'a', 'feel-good', 'music', 'video', 'during', 'the', 'end', 'credits', ',', 'something', 'that', 'has', 'become', 'sort', 'of', 'a', 'trade-mark', 'to', 'these', 'romantic', 'comedy', 'films', ',', 'a', 'la', 'Something', 'About', 'Mary', ',', 'Meet', 'the', 'Parents', 'but', 'again', ',', 'I', 'was', 'left', 'feeling', 'a', 'little', 'cheated', 'by', 'fact', 'that', 'this', 'COULD', 'have', 'been', 'a', 'much', 'better', 'film', 'with', 'a', 'little', 'more', 'music', 'and', 'punchier', 'punch', 'lines']
Indian Summer is a warm, multi-character film, that would make a fine afternoon film (with a bit of editing)	['Indian', 'Summer', 'is', 'a', 'warm', ',', 'multi-character', 'film', ',', 'that', 'would', 'make', 'a', 'fine', 'afternoon', 'film', '(', 'with', 'a', 'bit', 'of', 'editing', ')']
<br /><br />The film begins in the past with a group of children being shown a moose, which sets the tone perfectly before cutting into the present, when a group of adults from the "golden age" of the camp are invited back again to spend a few weeks holiday by the head of the camp, Uncle Lou	['<', 'br', '/', '>', '<', 'br', '/', '>', 'The', 'film', 'begins', 'in', 'the', 'past', 'with', 'a', 'group', 'of', 'children', 'being', 'shown', 'a', 'moose', ',', 'which', 'sets', 'the', 'tone', 'perfectly', 'before', 'cutting', 'into', 'the', 'present', ',', 'when', 'a', 'group', 'of', 'adults', 'from', 'the', '``', 'golden', 'age', "''", 'of', 'the', 'camp', 'are', 'invited', 'back', 'again', 'to', 'spend', 'a', 'few', 'weeks', 'holiday', 'by', 'the', 'head', 'of', 'the', 'camp', ',', 'Uncle', 'Lou']
The film then allows the viewer to spend time with these characters as they remember their times at the camp, and form new memories in their latest stay	['The', 'film', 'then', 'allows', 'the', 'viewer', 'to', 'spend', 'time', 'with', 'these', 'characters', 'as', 'they', 'remember', 'their', 'times', 'at', 'the', 'camp', ',', 'and', 'form', 'new', 'memories', 'in', 'their', 'latest', 'stay']
<br /><br />The film succeeds in the great way it brings across its characters in this gorgeous setting, and allows them room to develop without having to worry about plot developments	['<', 'br', '/', '>', '<', 'br', '/', '>', 'The', 'film', 'succeeds', 'in', 'the', 'great', 'way', 'it', 'brings', 'across', 'its', 'characters', 'in', 'this', 'gorgeous', 'setting', ',', 'and', 'allows', 'them', 'room', 'to', 'develop', 'without', 'having', 'to', 'worry', 'about', 'plot', 'developments']
Watching these people reminisce, and their relationships with each other is what the film is all about and why it works so well	['Watching', 'these', 'people', 'reminisce', ',', 'and', 'their', 'relationships', 'with', 'each', 'other', 'is', 'what', 'the', 'film', 'is', 'all', 'about', 'and', 'why', 'it', 'works', 'so', 'well']
It never goes to over the top and melodramatic, always keeping its warmth, charm and realism	['It', 'never', 'goes', 'to', 'over', 'the', 'top', 'and', 'melodramatic', ',', 'always', 'keeping', 'its', 'warmth', ',', 'charm', 'and', 'realism']
I've never seen a film where nostalgia is captured so well, and found myself getting drawn in despite never having been to one of these camps as a child myself	['I', "'ve", 'never', 'seen', 'a', 'film', 'where', 'nostalgia', 'is', 'captured', 'so', 'well', ',', 'and', 'found', 'myself', 'getting', 'drawn', 'in', 'despite', 'never', 'having', 'been', 'to', 'one', 'of', 'these', 'camps', 'as', 'a', 'child', 'myself']
<br /><br />For a warm, nostalgic character movie, I sincerely recommend	['<', 'br', '/', '>', '<', 'br', '/', '>', 'For', 'a', 'warm', ',', 'nostalgic', 'character', 'movie', ',', 'I', 'sincerely', 'recommend']
Though this movie has a first rate roster of fine actors, special effects that are excellent, and a story line that is full of surprises, it wasn't picked up for studio distribution and went directly to DVD	['Though', 'this', 'movie', 'has', 'a', 'first', 'rate', 'roster', 'of', 'fine', 'actors', ',', 'special', 'effects', 'that', 'are', 'excellent', ',', 'and', 'a', 'story', 'line', 'that', 'is', 'full', 'of', 'surprises', ',', 'it', 'was', "n't", 'picked', 'up', 'for', 'studio', 'distribution', 'and', 'went', 'directly', 'to', 'DVD']
Perhaps it contains too much 'anti-police force' information, or perhaps it is juts one too many action flicks released during a glut, but whatever the reason the big screens missed the opportunity, fortunately the new concept of releasing direct to DVD allows us to enjoy it	['Perhaps', 'it', 'contains', 'too', 'much', "'anti-police", 'force', "'", 'information', ',', 'or', 'perhaps', 'it', 'is', 'juts', 'one', 'too', 'many', 'action', 'flicks', 'released', 'during', 'a', 'glut', ',', 'but', 'whatever', 'the', 'reason', 'the', 'big', 'screens', 'missed', 'the', 'opportunity', ',', 'fortunately', 'the', 'new', 'concept', 'of', 'releasing', 'direct', 'to', 'DVD', 'allows', 'us', 'to', 'enjoy', 'it']
<br /><br />The theme is old: rookie reporter uncovers an inner circle of cops that are corrupt - in this case the F	['<', 'br', '/', '>', '<', 'br', '/', '>', 'The', 'theme', 'is', 'old', ':', 'rookie', 'reporter', 'uncovers', 'an', 'inner', 'circle', 'of', 'cops', 'that', 'are', 'corrupt', '-', 'in', 'this', 'case', 'the', 'F']
